implementation,dataset,capacity,keys,delta,load_factor,c,seed,probe_counting,correct,insertion_seconds,insertion_operations,insertion_probes,insertion_probe_average,insertion_probe_maximum,positive_lookup_seconds,positive_lookup_operations,positive_lookup_probes,positive_lookup_probe_average,positive_lookup_probe_maximum,negative_lookup_seconds,negative_lookup_probes,elastic_batch_zero_insertions,elastic_batch_zero_probes,elastic_case_one_insertions,elastic_case_one_fallbacks,elastic_case_one_probes,elastic_case_two_insertions,elastic_case_two_probes,elastic_case_three_insertions,elastic_case_three_probes,elastic_case_three_probe_average,elastic_case_three_probe_maximum,funnel_insertions_in_a,funnel_insertions_in_b,funnel_insertions_in_c,funnel_insertion_failures,theory_log2_inverse_delta,theory_log2_inverse_delta_squared,theory_log2_log2_capacity,theory_funnel_maximum_scale,theory_funnel_special_insertion_bound
standard,"generated sweep keys",65536,57344,0.125000000,0.875000000,,000102030405060708090a0b0c0d0e0f,0,1,0.004300000,57344,,,,0.003295000,57344,,,,0.000000000,,,,,,,,,,,,,,,,,3.000000000,9.000000000,4.000000000,,
elastic,"generated sweep keys",65536,57344,0.125000000,0.875000000,100.000000000,000102030405060708090a0b0c0d0e0f,0,1,0.004836000,57344,,,,0.698833000,57344,,,,0.028819000,,,,,,,,,,,,,,,,,3.000000000,9.000000000,4.000000000,,
funnel,"generated sweep keys",65536,57344,0.125000000,0.875000000,,000102030405060708090a0b0c0d0e0f,0,1,0.005201000,57344,,,,0.008663000,57344,,,,0.000001000,,,,,,,,,,,,,,,,,3.000000000,9.000000000,4.000000000,13.000000000,1024.000000000
standard,"generated sweep keys",65536,63488,0.031250000,0.968750000,,000102030405060708090a0b0c0d0e0f,0,1,0.006691000,63488,,,,0.005758000,63488,,,,0.000001000,,,,,,,,,,,,,,,,,5.000000000,25.000000000,4.000000000,,
elastic,"generated sweep keys",65536,63488,0.031250000,0.968750000,100.000000000,000102030405060708090a0b0c0d0e0f,0,1,0.006999000,63488,,,,2.143749000,63488,,,,0.028409000,,,,,,,,,,,,,,,,,5.000000000,25.000000000,4.000000000,,
funnel,"generated sweep keys",65536,63488,0.031250000,0.968750000,,000102030405060708090a0b0c0d0e0f,0,1,0.007081000,63488,,,,0.014327000,63488,,,,0.000002000,,,,,,,,,,,,,,,,,5.000000000,25.000000000,4.000000000,29.000000000,256.000000000
standard,"generated sweep keys",65536,65024,0.007812500,0.992187500,,000102030405060708090a0b0c0d0e0f,0,1,0.014607000,65024,,,,0.013585000,65024,,,,0.000003000,,,,,,,,,,,,,,,,,7.000000000,49.000000000,4.000000000,,
elastic,"generated sweep keys",65536,65024,0.007812500,0.992187500,100.000000000,000102030405060708090a0b0c0d0e0f,0,1,0.009546000,65024,,,,3.075048000,65024,,,,0.028105000,,,,,,,,,,,,,,,,,7.000000000,49.000000000,4.000000000,,
funnel,"generated sweep keys",65536,65024,0.007812500,0.992187500,,000102030405060708090a0b0c0d0e0f,0,1,0.007736000,65024,,,,0.018200000,65024,,,,0.000002000,,,,,,,,,,,,,,,,,7.000000000,49.000000000,4.000000000,53.000000000,64.000000000
standard,"generated sweep keys",65536,65280,0.003906250,0.996093750,,000102030405060708090a0b0c0d0e0f,0,1,0.020884000,65280,,,,0.020011000,65280,,,,0.000008000,,,,,,,,,,,,,,,,,8.000000000,64.000000000,4.000000000,,
elastic,"generated sweep keys",65536,65280,0.003906250,0.996093750,100.000000000,000102030405060708090a0b0c0d0e0f,0,1,0.010496000,65280,,,,3.304303000,65280,,,,0.028322000,,,,,,,,,,,,,,,,,8.000000000,64.000000000,4.000000000,,
funnel,"generated sweep keys",65536,65280,0.003906250,0.996093750,,000102030405060708090a0b0c0d0e0f,0,1,0.008542000,65280,,,,0.020614000,65280,,,,0.000003000,,,,,,,,,,,,,,,,,8.000000000,64.000000000,4.000000000,68.000000000,32.000000000
